Dataset,Seed,Model,AUC,Recall@10%LOC,Precision@10%LOC,InspectedModules@10%LOC,Recall@20%LOC,Precision@20%LOC,InspectedModules@20%LOC,Recall@30%LOC,Precision@30%LOC,InspectedModules@30%LOC
KC1,0,LOC排序基线,0.7860480640854473,0.07142857142857142,0.875,8.0,0.12244897959183673,0.631578947368421,19.0,0.1836734693877551,0.5294117647058824,34.0
KC1,0,复杂度加权,0.7736505817280183,0.04081632653061224,0.36363636363636365,11.0,0.11224489795918367,0.5238095238095238,21.0,0.20408163265306123,0.5,40.0
KC1,0,GaussianNB,0.7761205416746138,0.08163265306122448,0.6666666666666666,12.0,0.1326530612244898,0.5909090909090909,22.0,0.20408163265306123,0.5405405405405406,37.0
KC1,0,平衡Logistic,0.7795727636849132,0.08163265306122448,0.6666666666666666,12.0,0.20408163265306123,0.6896551724137931,29.0,0.25510204081632654,0.5434782608695652,46.0
KC1,1,LOC排序基线,0.7753671562082777,0.08163265306122448,0.8888888888888888,9.0,0.16326530612244897,0.8,20.0,0.21428571428571427,0.5833333333333334,36.0
KC1,1,复杂度加权,0.7800972725538814,0.07142857142857142,0.5833333333333334,12.0,0.15306122448979592,0.6,25.0,0.25510204081632654,0.5952380952380952,42.0
KC1,1,GaussianNB,0.7885180240320427,0.12244897959183673,0.8571428571428571,14.0,0.20408163265306123,0.7142857142857143,28.0,0.29591836734693877,0.7435897435897436,39.0
KC1,1,平衡Logistic,0.7988079343887088,0.10204081632653061,0.7142857142857143,14.0,0.19387755102040816,0.7037037037037037,27.0,0.2857142857142857,0.6222222222222222,45.0
KC1,2,LOC排序基线,0.7874022506198741,0.02040816326530612,0.25,8.0,0.11224489795918367,0.5789473684210527,19.0,0.17346938775510204,0.4857142857142857,35.0
KC1,2,复杂度加权,0.7827961090978447,0.030612244897959183,0.2727272727272727,11.0,0.10204081632653061,0.43478260869565216,23.0,0.19387755102040816,0.5,38.0
KC1,2,GaussianNB,0.7834159832157161,0.08163265306122448,0.5333333333333333,15.0,0.12244897959183673,0.5714285714285714,21.0,0.20408163265306123,0.4878048780487805,41.0
KC1,2,平衡Logistic,0.7972725538813656,0.07142857142857142,0.4666666666666667,15.0,0.21428571428571427,0.6774193548387096,31.0,0.2653061224489796,0.5306122448979592,49.0
KC1,3,LOC排序基线,0.8075338546633607,0.05102040816326531,0.625,8.0,0.09183673469387756,0.5,18.0,0.20408163265306123,0.6060606060606061,33.0
KC1,3,复杂度加权,0.8193209994278086,0.05102040816326531,0.45454545454545453,11.0,0.10204081632653061,0.47619047619047616,21.0,0.21428571428571427,0.5526315789473685,38.0
KC1,3,GaussianNB,0.8185485409116918,0.08163265306122448,0.5333333333333333,15.0,0.16326530612244897,0.64,25.0,0.20408163265306123,0.5882352941176471,34.0
KC1,3,平衡Logistic,0.8230497806599275,0.08163265306122448,0.6666666666666666,12.0,0.17346938775510204,0.6071428571428571,28.0,0.2755102040816326,0.6,45.0
KC1,4,LOC排序基线,0.7742609193209994,0.05102040816326531,0.7142857142857143,7.0,0.10204081632653061,0.5555555555555556,18.0,0.16326530612244897,0.48484848484848486,33.0
KC1,4,复杂度加权,0.7824909403013541,0.061224489795918366,0.42857142857142855,14.0,0.11224489795918367,0.5238095238095238,21.0,0.1836734693877551,0.47368421052631576,38.0
KC1,4,GaussianNB,0.7748903299637612,0.09183673469387756,0.5625,16.0,0.1326530612244898,0.4482758620689655,29.0,0.1836734693877551,0.46153846153846156,39.0
KC1,4,平衡Logistic,0.7786381842456609,0.08163265306122448,0.5,16.0,0.16326530612244897,0.5333333333333333,30.0,0.23469387755102042,0.4791666666666667,48.0
KC1,5,LOC排序基线,0.8054644287621591,0.02040816326530612,0.25,8.0,0.09183673469387756,0.47368421052631576,19.0,0.16326530612244897,0.48484848484848486,33.0
KC1,5,复杂度加权,0.8031851993133702,0.01020408163265306,0.1111111111111111,9.0,0.07142857142857142,0.35,20.0,0.16326530612244897,0.41025641025641024,39.0
KC1,5,GaussianNB,0.804768262445165,0.07142857142857142,0.4375,16.0,0.15306122448979592,0.5769230769230769,26.0,0.1836734693877551,0.5,36.0
KC1,5,平衡Logistic,0.8232309746328438,0.08163265306122448,0.5333333333333333,15.0,0.19387755102040816,0.7037037037037037,27.0,0.2755102040816326,0.6136363636363636,44.0
KC1,6,LOC排序基线,0.7733358764066374,0.07142857142857142,1.0,7.0,0.09183673469387756,0.5294117647058824,17.0,0.17346938775510204,0.5483870967741935,31.0
KC1,6,复杂度加权,0.7832538622925805,0.061224489795918366,0.6,10.0,0.10204081632653061,0.5263157894736842,19.0,0.17346938775510204,0.5,34.0
KC1,6,GaussianNB,0.7895193591455274,0.07142857142857142,0.5833333333333334,12.0,0.14285714285714285,0.6666666666666666,21.0,0.19387755102040816,0.5588235294117647,34.0
KC1,6,平衡Logistic,0.7938489414457371,0.05102040816326531,0.4166666666666667,12.0,0.17346938775510204,0.5862068965517241,29.0,0.25510204081632654,0.5555555555555556,45.0
KC1,7,LOC排序基线,0.8090024794964715,0.030612244897959183,0.42857142857142855,7.0,0.12244897959183673,0.6666666666666666,18.0,0.1836734693877551,0.5625,32.0
KC1,7,复杂度加权,0.8128552355521648,0.061224489795918366,0.6666666666666666,9.0,0.12244897959183673,0.5454545454545454,22.0,0.22448979591836735,0.5945945945945946,37.0
KC1,7,GaussianNB,0.8041674613770742,0.11224489795918367,0.8461538461538461,13.0,0.15306122448979592,0.6521739130434783,23.0,0.23469387755102042,0.6388888888888888,36.0
KC1,7,平衡Logistic,0.8195594125500667,0.09183673469387756,0.6,15.0,0.1836734693877551,0.75,24.0,0.29591836734693877,0.6744186046511628,43.0
KC1,8,LOC排序基线,0.7791722296395194,0.04081632653061224,0.4444444444444444,9.0,0.11224489795918367,0.5238095238095238,21.0,0.19387755102040816,0.5277777777777778,36.0
KC1,8,复杂度加权,0.7846461949265687,0.05102040816326531,0.45454545454545453,11.0,0.1326530612244898,0.5416666666666666,24.0,0.22448979591836735,0.5116279069767442,43.0
KC1,8,GaussianNB,0.7789528895670418,0.061224489795918366,0.46153846153846156,13.0,0.14285714285714285,0.5185185185185185,27.0,0.20408163265306123,0.5,40.0
KC1,8,平衡Logistic,0.7936963570474919,0.07142857142857142,0.4666666666666667,15.0,0.1836734693877551,0.5454545454545454,33.0,0.25510204081632654,0.5208333333333334,48.0
KC1,9,LOC排序基线,0.7994754911310319,0.07142857142857142,0.7777777777777778,9.0,0.09183673469387756,0.45,20.0,0.15306122448979592,0.4411764705882353,34.0
KC1,9,复杂度加权,0.8101277894335305,0.07142857142857142,0.5384615384615384,13.0,0.11224489795918367,0.4782608695652174,23.0,0.19387755102040816,0.4523809523809524,42.0
KC1,9,GaussianNB,0.8156780469197025,0.07142857142857142,0.5384615384615384,13.0,0.12244897959183673,0.4444444444444444,27.0,0.17346938775510204,0.4594594594594595,37.0
KC1,9,平衡Logistic,0.8109097844745374,0.10204081632653061,0.7142857142857143,14.0,0.21428571428571427,0.75,28.0,0.2653061224489796,0.5777777777777777,45.0
JM1,0,LOC排序基线,0.7158921071095604,0.023734177215189875,0.5172413793103449,29.0,0.06962025316455696,0.5238095238095238,84.0,0.13291139240506328,0.49411764705882355,170.0
JM1,0,复杂度加权,0.6983143387830032,0.03481012658227848,0.5,44.0,0.08227848101265822,0.48598130841121495,107.0,0.15348101265822786,0.48743718592964824,199.0
JM1,0,GaussianNB,0.681590183866286,0.04430379746835443,0.5,56.0,0.08069620253164557,0.46788990825688076,109.0,0.13449367088607594,0.4473684210526316,190.0
JM1,0,平衡Logistic,0.7161903611968129,0.0379746835443038,0.6153846153846154,39.0,0.08860759493670886,0.56,100.0,0.15348101265822786,0.5132275132275133,189.0
JM1,1,LOC排序基线,0.7124256917812828,0.04272151898734177,0.6923076923076923,39.0,0.10284810126582279,0.6190476190476191,105.0,0.16772151898734178,0.53,200.0
JM1,1,复杂度加权,0.6897818089636016,0.04272151898734177,0.5294117647058824,51.0,0.11234177215189874,0.5503875968992248,129.0,0.18829113924050633,0.5173913043478261,230.0
JM1,1,GaussianNB,0.6842702656593909,0.055379746835443035,0.5932203389830508,59.0,0.0981012658227848,0.5081967213114754,122.0,0.1661392405063291,0.4751131221719457,221.0
JM1,1,平衡Logistic,0.7098582437069288,0.05063291139240506,0.6153846153846154,52.0,0.11550632911392406,0.5983606557377049,122.0,0.1787974683544304,0.518348623853211,218.0
JM1,2,LOC排序基线,0.7371297204040637,0.022151898734177215,0.875,16.0,0.061708860759493674,0.639344262295082,61.0,0.11708860759493671,0.556390977443609,133.0
JM1,2,复杂度加权,0.7175455701008236,0.028481012658227847,0.782608695652174,23.0,0.07436708860759493,0.5949367088607594,79.0,0.13449367088607594,0.5279503105590062,161.0
JM1,2,GaussianNB,0.713291019097873,0.04113924050632911,0.4406779661016949,59.0,0.08860759493670886,0.4827586206896552,116.0,0.12341772151898735,0.4936708860759494,158.0
JM1,2,平衡Logistic,0.7293721105696683,0.023734177215189875,0.8823529411764706,17.0,0.07278481012658228,0.6301369863013698,73.0,0.13924050632911392,0.5714285714285714,154.0
JM1,3,LOC排序基线,0.7232646598041195,0.015822784810126583,0.625,16.0,0.055379746835443035,0.5737704918032787,61.0,0.1281645569620253,0.5785714285714286,140.0
JM1,3,复杂度加权,0.7040394356179657,0.023734177215189875,0.6521739130434783,23.0,0.06329113924050633,0.5263157894736842,76.0,0.13924050632911392,0.5365853658536586,164.0
JM1,3,GaussianNB,0.7030969166594581,0.04430379746835443,0.56,50.0,0.07911392405063292,0.5434782608695652,92.0,0.13291139240506328,0.535031847133758,157.0
JM1,3,平衡Logistic,0.7204061662005132,0.020569620253164556,0.6190476190476191,21.0,0.07911392405063292,0.6410256410256411,78.0,0.1518987341772152,0.5925925925925926,162.0
JM1,4,LOC排序基线,0.727011908537816,0.014240506329113924,0.6,15.0,0.060126582278481014,0.6666666666666666,57.0,0.11234177215189874,0.5419847328244275,131.0
JM1,4,复杂度加权,0.7117024331286103,0.022151898734177215,0.7777777777777778,18.0,0.06962025316455696,0.6111111111111112,72.0,0.125,0.5,158.0
JM1,4,GaussianNB,0.7009394553213575,0.04430379746835443,0.45161290322580644,62.0,0.07120253164556962,0.42452830188679247,106.0,0.11234177215189874,0.47333333333333333,150.0
JM1,4,平衡Logistic,0.7248184044097152,0.022151898734177215,0.7777777777777778,18.0,0.0680379746835443,0.5972222222222222,72.0,0.1360759493670886,0.5695364238410596,151.0
JM1,5,LOC排序基线,0.7172911680747384,0.02531645569620253,0.7619047619047619,21.0,0.0680379746835443,0.6056338028169014,71.0,0.13765822784810128,0.5686274509803921,153.0
JM1,5,复杂度加权,0.698542309429755,0.03481012658227848,0.7096774193548387,31.0,0.08227848101265822,0.5977011494252874,87.0,0.15348101265822786,0.5449438202247191,178.0
JM1,5,GaussianNB,0.6910976711551955,0.04588607594936709,0.5087719298245614,57.0,0.08544303797468354,0.47368421052631576,114.0,0.1360759493670886,0.5058823529411764,170.0
JM1,5,平衡Logistic,0.7101057375315976,0.03481012658227848,0.7096774193548387,31.0,0.09177215189873418,0.6041666666666666,96.0,0.17088607594936708,0.5595854922279793,193.0
JM1,6,LOC排序基线,0.7224711177109464,0.020569620253164556,0.65,20.0,0.06645569620253164,0.6,70.0,0.11867088607594936,0.5102040816326531,147.0
JM1,6,复杂度加权,0.7021817301500342,0.02689873417721519,0.6071428571428571,28.0,0.0759493670886076,0.5581395348837209,86.0,0.13132911392405064,0.47701149425287354,174.0
JM1,6,GaussianNB,0.696041840873485,0.0379746835443038,0.4444444444444444,54.0,0.08544303797468354,0.5,108.0,0.12341772151898735,0.47560975609756095,164.0
JM1,6,平衡Logistic,0.7196042141230068,0.030063291139240507,0.7037037037037037,27.0,0.08227848101265822,0.5777777777777777,90.0,0.1360759493670886,0.5029239766081871,171.0
JM1,7,LOC排序基线,0.7123584119066155,0.020569620253164556,0.5652173913043478,23.0,0.056962025316455694,0.48,75.0,0.12658227848101267,0.5128205128205128,156.0
JM1,7,复杂度加权,0.6937573287006334,0.030063291139240507,0.6333333333333333,30.0,0.07120253164556962,0.4891304347826087,92.0,0.12974683544303797,0.4581005586592179,179.0
JM1,7,GaussianNB,0.6847093869842277,0.03955696202531646,0.43103448275862066,58.0,0.0759493670886076,0.47058823529411764,102.0,0.12341772151898735,0.46706586826347307,167.0
JM1,7,平衡Logistic,0.7075821415184107,0.03481012658227848,0.7586206896551724,29.0,0.08069620253164557,0.5730337078651685,89.0,0.13291139240506328,0.49411764705882355,170.0
JM1,8,LOC排序基线,0.7320708144709399,0.020569620253164556,0.7647058823529411,17.0,0.05221518987341772,0.5076923076923077,65.0,0.11708860759493671,0.5285714285714286,140.0
JM1,8,复杂度加权,0.7103072767990158,0.023734177215189875,0.5769230769230769,26.0,0.06645569620253164,0.5185185185185185,81.0,0.12341772151898735,0.48148148148148145,162.0
JM1,8,GaussianNB,0.7039490282863816,0.030063291139240507,0.38,50.0,0.0759493670886076,0.4752475247524752,101.0,0.12025316455696203,0.4840764331210191,157.0
JM1,8,平衡Logistic,0.7301398219966745,0.022151898734177215,0.7368421052631579,19.0,0.07753164556962025,0.6125,80.0,0.12974683544303797,0.5125,160.0
JM1,9,LOC排序基线,0.7125022827100334,0.028481012658227847,0.6428571428571429,28.0,0.07753164556962025,0.5764705882352941,85.0,0.14715189873417722,0.5470588235294118,170.0
JM1,9,复杂度加权,0.6908198413156099,0.03955696202531646,0.6097560975609756,41.0,0.07911392405063292,0.4807692307692308,104.0,0.15664556962025317,0.5076923076923077,195.0
JM1,9,GaussianNB,0.6809723503743644,0.04588607594936709,0.453125,64.0,0.08227848101265822,0.47706422018348627,109.0,0.14556962025316456,0.48677248677248675,189.0
JM1,9,平衡Logistic,0.7048891443922225,0.0490506329113924,0.7045454545454546,44.0,0.10443037974683544,0.6,110.0,0.15664556962025317,0.5025380710659898,197.0
PC1,0,LOC排序基线,0.729663394109397,0.043478260869565216,0.25,4.0,0.08695652173913043,0.18181818181818182,11.0,0.2608695652173913,0.3157894736842105,19.0
PC1,0,复杂度加权,0.6913744740532959,0.043478260869565216,0.25,4.0,0.13043478260869565,0.23076923076923078,13.0,0.17391304347826086,0.16666666666666666,24.0
PC1,0,GaussianNB,0.7408134642356241,0.08695652173913043,0.25,8.0,0.21739130434782608,0.2631578947368421,19.0,0.30434782608695654,0.30434782608695654,23.0
PC1,0,平衡Logistic,0.8338008415147266,0.17391304347826086,0.3076923076923077,13.0,0.30434782608695654,0.3684210526315789,19.0,0.34782608695652173,0.20512820512820512,39.0
PC1,1,LOC排序基线,0.7014726507713885,0.13043478260869565,0.5,6.0,0.2608695652173913,0.5,12.0,0.34782608695652173,0.38095238095238093,21.0
PC1,1,复杂度加权,0.6553997194950911,0.0,0.0,9.0,0.21739130434782608,0.35714285714285715,14.0,0.2608695652173913,0.24,25.0
PC1,1,GaussianNB,0.7052594670406732,0.043478260869565216,0.14285714285714285,7.0,0.21739130434782608,0.29411764705882354,17.0,0.391304347826087,0.375,24.0
PC1,1,平衡Logistic,0.8650771388499299,0.13043478260869565,0.2727272727272727,11.0,0.2608695652173913,0.2727272727272727,22.0,0.391304347826087,0.2647058823529412,34.0
PC1,2,LOC排序基线,0.7420757363253857,0.043478260869565216,0.3333333333333333,3.0,0.13043478260869565,0.3333333333333333,9.0,0.30434782608695654,0.3888888888888889,18.0
PC1,2,复杂度加权,0.6616409537166901,0.043478260869565216,0.16666666666666666,6.0,0.13043478260869565,0.25,12.0,0.17391304347826086,0.18181818181818182,22.0
PC1,2,GaussianNB,0.7131136044880786,0.13043478260869565,0.2727272727272727,11.0,0.21739130434782608,0.35714285714285715,14.0,0.21739130434782608,0.2631578947368421,19.0
PC1,2,平衡Logistic,0.8418653576437588,0.043478260869565216,0.125,8.0,0.17391304347826086,0.18181818181818182,22.0,0.34782608695652173,0.23529411764705882,34.0
PC1,3,LOC排序基线,0.6302945301542777,0.08695652173913043,0.3333333333333333,6.0,0.13043478260869565,0.21428571428571427,14.0,0.17391304347826086,0.16666666666666666,24.0
PC1,3,复杂度加权,0.5523141654978962,0.043478260869565216,0.14285714285714285,7.0,0.08695652173913043,0.125,16.0,0.08695652173913043,0.06896551724137931,29.0
PC1,3,GaussianNB,0.6554698457223002,0.08695652173913043,0.2222222222222222,9.0,0.17391304347826086,0.2222222222222222,18.0,0.17391304347826086,0.14285714285714285,28.0
PC1,3,平衡Logistic,0.8126227208976157,0.08695652173913043,0.15384615384615385,13.0,0.17391304347826086,0.15384615384615385,26.0,0.2608695652173913,0.15,40.0
PC1,4,LOC排序基线,0.7348527349228612,0.043478260869565216,0.25,4.0,0.08695652173913043,0.2222222222222222,9.0,0.21739130434782608,0.2777777777777778,18.0
PC1,4,复杂度加权,0.6873071528751753,0.043478260869565216,0.2,5.0,0.043478260869565216,0.08333333333333333,12.0,0.17391304347826086,0.19047619047619047,21.0
PC1,4,GaussianNB,0.7157082748948107,0.043478260869565216,0.125,8.0,0.08695652173913043,0.15384615384615385,13.0,0.21739130434782608,0.23809523809523808,21.0
PC1,4,平衡Logistic,0.8396914446002806,0.08695652173913043,0.2857142857142857,7.0,0.21739130434782608,0.3125,16.0,0.30434782608695654,0.25,28.0
PC1,5,LOC排序基线,0.705610098176718,0.043478260869565216,0.3333333333333333,3.0,0.13043478260869565,0.3,10.0,0.21739130434782608,0.2777777777777778,18.0
PC1,5,复杂度加权,0.6596774193548387,0.043478260869565216,0.25,4.0,0.08695652173913043,0.16666666666666666,12.0,0.21739130434782608,0.21739130434782608,23.0
PC1,5,GaussianNB,0.76781206171108,0.08695652173913043,0.15384615384615385,13.0,0.08695652173913043,0.2,10.0,0.2608695652173913,0.25,24.0
PC1,5,平衡Logistic,0.8180925666199158,0.08695652173913043,0.25,8.0,0.17391304347826086,0.2222222222222222,18.0,0.30434782608695654,0.21212121212121213,33.0
PC1,6,LOC排序基线,0.7545582047685835,0.08695652173913043,0.3333333333333333,6.0,0.21739130434782608,0.38461538461538464,13.0,0.34782608695652173,0.34782608695652173,23.0
PC1,6,复杂度加权,0.7305049088359046,0.08695652173913043,0.2857142857142857,7.0,0.21739130434782608,0.35714285714285715,14.0,0.30434782608695654,0.28,25.0
PC1,6,GaussianNB,0.7886395511921459,0.17391304347826086,0.36363636363636365,11.0,0.30434782608695654,0.4666666666666667,15.0,0.4782608695652174,0.4074074074074074,27.0
PC1,6,平衡Logistic,0.8419354838709677,0.2608695652173913,0.4,15.0,0.34782608695652173,0.26666666666666666,30.0,0.4782608695652174,0.2972972972972973,37.0
PC1,7,LOC排序基线,0.7553295932678822,0.08695652173913043,0.6666666666666666,3.0,0.30434782608695654,0.6363636363636364,11.0,0.34782608695652173,0.4444444444444444,18.0
PC1,7,复杂度加权,0.6892005610098176,0.08695652173913043,0.4,5.0,0.13043478260869565,0.23076923076923078,13.0,0.2608695652173913,0.2857142857142857,21.0
PC1,7,GaussianNB,0.7429873772791024,0.21739130434782608,0.4166666666666667,12.0,0.30434782608695654,0.4117647058823529,17.0,0.391304347826087,0.47368421052631576,19.0
PC1,7,平衡Logistic,0.8985974754558205,0.13043478260869565,0.3333333333333333,9.0,0.2608695652173913,0.375,16.0,0.4782608695652174,0.4074074074074074,27.0
PC1,8,LOC排序基线,0.7075035063113605,0.0,0.0,6.0,0.17391304347826086,0.2857142857142857,14.0,0.2608695652173913,0.25,24.0
PC1,8,复杂度加权,0.6378681626928471,0.0,0.0,9.0,0.0,0.0,19.0,0.08695652173913043,0.06451612903225806,31.0
PC1,8,GaussianNB,0.650140252454418,0.0,0.0,9.0,0.08695652173913043,0.10526315789473684,19.0,0.2608695652173913,0.2222222222222222,27.0
PC1,8,平衡Logistic,0.8564516129032258,0.13043478260869565,0.23076923076923078,13.0,0.17391304347826086,0.2,20.0,0.30434782608695654,0.20588235294117646,34.0
PC1,9,LOC排序基线,0.7099579242636747,0.08695652173913043,0.6666666666666666,3.0,0.2608695652173913,0.5454545454545454,11.0,0.2608695652173913,0.3,20.0
PC1,9,复杂度加权,0.6481065918653577,0.043478260869565216,0.16666666666666666,6.0,0.13043478260869565,0.23076923076923078,13.0,0.21739130434782608,0.2,25.0
PC1,9,GaussianNB,0.7519635343618514,0.13043478260869565,0.42857142857142855,7.0,0.21739130434782608,0.38461538461538464,13.0,0.30434782608695654,0.3181818181818182,22.0
PC1,9,平衡Logistic,0.882258064516129,0.08695652173913043,0.4,5.0,0.2608695652173913,0.3,20.0,0.391304347826087,0.2727272727272727,33.0
